timestamp,open,high,low,close,volume
2017-07-10 00:00:00+05:30,265.0,273.5,261.85,270.83,21171378
2017-07-11 00:00:00+05:30,268.5,287.33,266.2,283.63,28572624
2017-07-12 00:00:00+05:30,288.23,321.35,287.5,314.78,35549156
2017-07-13 00:00:00+05:30,326.0,349.48,315.05,345.58,43750394
2017-07-14 00:00:00+05:30,348.9,362.75,280.55,299.4,67296768
2017-07-17 00:00:00+05:30,295.0,306.85,281.18,298.05,23021580
2017-07-18 00:00:00+05:30,295.0,301.5,290.55,294.45,7099796
2017-07-19 00:00:00+05:30,295.98,300.75,292.05,293.48,3583984
2017-07-20 00:00:00+05:30,294.0,299.48,288.55,291.3,6110080
2017-07-21 00:00:00+05:30,292.0,297.5,290.1,291.73,2877876
2017-07-24 00:00:00+05:30,293.25,295.48,288.0,293.2,2979578
2017-07-25 00:00:00+05:30,294.98,306.0,294.48,301.03,6180740
2017-07-26 00:00:00+05:30,301.15,303.5,296.0,297.5,2126020
2017-07-27 00:00:00+05:30,298.95,299.23,290.0,290.93,1698416
2017-07-28 00:00:00+05:30,289.0,299.38,285.0,294.25,4663896
2017-07-31 00:00:00+05:30,295.0,297.5,289.08,295.3,2100158
2017-08-01 00:00:00+05:30,296.0,296.25,291.5,292.95,844314
2017-08-02 00:00:00+05:30,291.1,294.95,290.0,291.0,930916
2017-08-03 00:00:00+05:30,291.0,292.75,274.05,279.25,1480784
2017-08-04 00:00:00+05:30,280.2,280.2,270.88,277.15,1403112
2017-08-07 00:00:00+05:30,275.0,290.73,248.13,275.7,14704942
2017-08-08 00:00:00+05:30,276.73,289.15,274.28,284.18,4743356
2017-08-09 00:00:00+05:30,282.5,282.5,270.5,274.95,2774206
2017-08-10 00:00:00+05:30,257.5,275.35,251.0,271.4,6399422
2017-08-11 00:00:00+05:30,266.0,273.93,262.58,270.75,1678474
2017-08-14 00:00:00+05:30,272.6,277.5,268.5,270.2,1176194
2017-08-16 00:00:00+05:30,272.55,275.9,270.15,272.05,975976
2017-08-17 00:00:00+05:30,273.2,276.25,271.05,271.75,651746
2017-08-18 00:00:00+05:30,270.7,274.5,267.5,268.88,573760
2017-08-21 00:00:00+05:30,270.38,273.25,268.68,270.1,1074978
2017-08-22 00:00:00+05:30,271.4,272.13,263.85,264.75,943080
2017-08-23 00:00:00+05:30,265.9,266.5,261.0,262.63,510576
2017-08-24 00:00:00+05:30,263.38,267.5,262.03,266.43,972048
2017-08-28 00:00:00+05:30,266.63,270.63,264.0,268.98,1001376
2017-08-29 00:00:00+05:30,265.5,279.4,265.5,272.4,1649802
2017-08-30 00:00:00+05:30,275.0,278.88,274.23,275.43,712294
2017-08-31 00:00:00+05:30,274.9,278.23,273.0,274.73,580208
2017-09-01 00:00:00+05:30,275.5,285.0,273.78,276.15,1765988
2017-09-04 00:00:00+05:30,277.88,282.15,271.03,278.5,1182770
2017-09-05 00:00:00+05:30,280.05,288.25,276.58,286.58,1989224
2017-09-06 00:00:00+05:30,284.0,289.0,281.8,283.93,1157354
2017-09-07 00:00:00+05:30,285.63,288.0,277.5,279.35,815452
2017-09-08 00:00:00+05:30,280.5,282.75,275.0,277.18,831916
2017-09-11 00:00:00+05:30,279.38,282.45,275.5,279.3,697004
2017-09-12 00:00:00+05:30,280.0,280.23,275.53,277.83,468214
2017-09-13 00:00:00+05:30,278.45,280.0,275.53,278.75,476598
2017-09-14 00:00:00+05:30,279.5,282.15,276.35,277.05,359790
2017-09-15 00:00:00+05:30,275.9,286.0,275.23,283.63,1008804
2017-09-18 00:00:00+05:30,284.5,288.0,279.5,281.35,823952
2017-09-19 00:00:00+05:30,281.4,281.4,275.5,276.53,931266
2017-09-20 00:00:00+05:30,278.4,279.0,273.18,274.95,1214296
2017-09-21 00:00:00+05:30,275.6,280.4,273.0,276.85,986458
2017-09-22 00:00:00+05:30,275.95,275.95,270.5,272.98,569140
2017-09-25 00:00:00+05:30,274.8,278.75,264.25,276.75,896016
2017-09-26 00:00:00+05:30,278.05,281.8,272.33,280.05,1125944
2017-09-27 00:00:00+05:30,280.45,281.7,275.83,279.33,838242
2017-09-28 00:00:00+05:30,278.0,279.9,275.05,278.58,758496
2017-09-29 00:00:00+05:30,279.48,288.95,275.05,284.3,792284
2017-10-03 00:00:00+05:30,284.6,286.68,278.78,281.28,1070914
2017-10-04 00:00:00+05:30,283.95,286.43,280.05,281.65,332520
2017-10-05 00:00:00+05:30,281.0,295.0,281.0,292.88,1734874
2017-10-06 00:00:00+05:30,295.2,311.5,293.1,307.53,3843936
2017-10-09 00:00:00+05:30,305.45,305.75,293.55,295.7,1247384
2017-10-10 00:00:00+05:30,297.4,297.48,288.0,290.4,678448
2017-10-11 00:00:00+05:30,291.05,293.65,288.83,290.8,1128084
2017-10-12 00:00:00+05:30,292.95,293.08,285.08,290.68,481810
2017-10-13 00:00:00+05:30,291.15,298.0,288.75,292.85,909564
2017-10-16 00:00:00+05:30,294.5,307.2,292.0,303.63,2015128
2017-10-17 00:00:00+05:30,302.8,304.9,299.23,302.18,542840
2017-10-18 00:00:00+05:30,300.0,304.5,294.1,295.85,628020
2017-10-19 00:00:00+05:30,296.0,301.78,296.0,300.45,204002
2017-10-23 00:00:00+05:30,300.0,302.98,297.65,299.25,759678
2017-10-24 00:00:00+05:30,299.0,300.98,295.75,296.7,259344
2017-10-25 00:00:00+05:30,295.0,299.0,282.0,285.13,1466270
2017-10-26 00:00:00+05:30,287.4,294.93,286.0,290.68,338256
2017-10-27 00:00:00+05:30,293.9,302.0,293.0,295.9,844860
2017-10-30 00:00:00+05:30,296.5,299.5,285.5,293.98,1627976
2017-10-31 00:00:00+05:30,294.0,297.68,290.05,290.88,453978
2017-11-01 00:00:00+05:30,295.48,296.0,290.0,294.65,589374
2017-11-02 00:00:00+05:30,298.5,309.75,298.5,305.13,1854906
2017-11-03 00:00:00+05:30,310.0,310.0,305.48,307.45,1074414
2017-11-06 00:00:00+05:30,308.98,311.0,303.95,307.6,645802
2017-11-07 00:00:00+05:30,309.15,310.1,299.0,305.73,688332
2017-11-08 00:00:00+05:30,305.5,311.9,304.5,305.93,639110
2017-11-09 00:00:00+05:30,306.5,314.0,306.5,311.88,833566
2017-11-10 00:00:00+05:30,309.0,311.5,300.0,302.48,573826
2017-11-13 00:00:00+05:30,302.5,309.0,297.55,307.35,750236
2017-11-14 00:00:00+05:30,310.0,312.45,308.03,311.8,534986
2017-11-15 00:00:00+05:30,304.0,314.95,304.0,312.98,444250
2017-11-16 00:00:00+05:30,313.25,326.25,313.0,322.8,1038832
2017-11-17 00:00:00+05:30,324.0,339.5,320.05,335.23,1326186
